effect_id,category,study_id,exp_id,outcome_pattern,effect_direction,test,name_ctrl,n_ctrl,mean_ctrl,sd_ctrl,name_int,n_int,mean_int,sd_int
1,Pro-dopaminergic agents,Benvenutti_2021,Benvenutti_2021_exp_001,time_in_center,indirect,Open tank,Control,12,59.092,68.551,Amphetamine,12,47.108,55.481
2,Pro-dopaminergic agents,Benvenutti_2021,Benvenutti_2021_exp_001,time_in_center,indirect,Open tank,Control,12,59.092,68.551,Amphetamine,12,37.208,33.443
3,Pro-dopaminergic agents,Benvenutti_2021,Benvenutti_2021_exp_001,time_in_center,indirect,Open tank,Control,12,59.092,68.551,Amphetamine,12,59.558,35.582
4,Pro-dopaminergic agents,Canzian_2024,Canzian_2024_exp_001,time_in_upper,indirect,Novel tank,Control,12,2.9925,0.3290896534,GBR 12909,12,2.75,0.4763139721
5,Pro-dopaminergic agents,Canzian_2024,Canzian_2024_exp_001,time_in_upper,indirect,Novel tank,Control,12,2.9925,0.3290896534,GBR 12909,12,2.2595,0.8435087433
6,Pro-dopaminergic agents,Canzian_2024,Canzian_2024_exp_001,time_in_upper,indirect,Novel tank,Control,12,2.9925,0.3290896534,GBR 12909,12,2.9805,0.4832421753
7,Pro-dopaminergic agents,Canzian_2024,Canzian_2024_exp_001,time_in_upper,indirect,Novel tank,Control,12,2.9925,0.3290896534,GBR 12909,12,2.9375,0.4260844987
8,Pro-dopaminergic agents,Yin_2023,Yin_2023_exp_001,time_freezing,direct,Open tank,Control,10,446.7155,139.5623811,Methamphetamine,10,260.401,96.16802592
9,Pro-dopaminergic agents,Yin_2023,Yin_2023_exp_001,time_freezing,direct,Open tank,Control,10,446.7155,139.5623811,Methamphetamine,10,448.475,169.1059602
10,Pro-dopaminergic agents,Yin_2023,Yin_2023_exp_001,time_freezing,direct,Open tank,Control,10,446.7155,139.5623811,Methamphetamine,10,517.3575,167.3714509
11,Pro-dopaminergic agents,Yin_2023,Yin_2023_exp_002,time_in_upper,indirect,Novel tank,Control,10,51.475,36.4357632,Methamphetamine,10,126.6115,46.70051649
12,Pro-dopaminergic agents,Yin_2023,Yin_2023_exp_002,time_in_upper,indirect,Novel tank,Control,10,51.475,36.4357632,Methamphetamine,10,40.29825,46.68391453
13,Pro-dopaminergic agents,Yin_2023,Yin_2023_exp_002,time_in_upper,indirect,Novel tank,Control,10,51.475,36.4357632,Methamphetamine,10,5.124,10.10189599
14,Pro-dopaminergic agents,Freddo_2021,Freddo_2021_exp_001,time_in_upper,indirect,Novel tank,Control,12,50.7925,39.6778199,Methylphenidate,12,68.042,2.956610729
15,Pro-dopaminergic agents,Frizzo_2020,Frizzo_2020_exp_001,time_in_upper,indirect,Novel tank,Control,12,50.2905,22.34865157,Methylphenidate,12,141.352,110.6053005
16,Pro-dopaminergic agents,Frizzo_2020,Frizzo_2020_exp_001,time_in_upper,indirect,Novel tank,Control,12,50.2905,22.34865157,Methylphenidate,12,70.731,84.46692173
17,Pro-dopaminergic agents,Frizzo_2020,Frizzo_2020_exp_001,time_in_upper,indirect,Novel tank,Control,12,50.2905,22.34865157,Methylphenidate,12,101.2765,87.01303642
