effect_id,study_id,exp_id,outcome_pattern,effect_direction,test,name_ctrl,n_ctrl,mean_ctrl,sd_ctrl,name_int,pharmacological_action,n_int,mean_int,sd_int
1,Souza_2024,Souza_2024_exp_001,time_in_upper,indirect,Novel tank,Control,12,31.7665,86.438,8 OH-DPAT,5-HT1A receptor agonist,12,249.8995,109.1355
2,Souza_2024,Souza_2024_exp_002,time_in_light,indirect,Light/dark,Control,12,311.494,285.6675,8 OH-DPAT,5-HT1A receptor agonist,12,83.2275,162.75
3,Lutte_2020,Lutte_2020_exp_001,time_in_upper,indirect,Novel tank,Control,10,104.202,12.2975,AMPCP,Ecto-5′-nucleotidase inhibitor,10,130.879,20.11
4,Serikuly_2021,Serikuly_2021_exp_001,time_in_light,indirect,Light/dark,Control,12,117.254,59.75299851,Arecoline,Muscarinic receptor agonist,12,165.3115,54.87108209
5,Serikuly_2021,Serikuly_2021_exp_002,time_in_upper,indirect,Novel tank,Control,15,79.686,104.1270938,Arecoline,Muscarinic receptor agonist,15,293.189,23.04812389
6,Barcellos_2020,Barcellos_2020_exp_001,time_in_upper,indirect,Novel tank,Control,12,46.0605,58.76328775,Aripiprazole,D2/5-HT1A receptor partial agonist,12,18.964,16.10460841
7,Barcellos_2020,Barcellos_2020_exp_001,time_in_upper,indirect,Novel tank,Control,12,46.0605,58.76328775,Aripiprazole,D2/5-HT1A receptor partial agonist,12,33.958,63.61303001
8,Barcellos_2020,Barcellos_2020_exp_001,time_in_upper,indirect,Novel tank,Control,12,46.0605,58.76328775,Aripiprazole,D2/5-HT1A receptor partial agonist,12,17.814,19.51155235
9,Volgin_2019,Volgin_2019_exp_001,time_in_upper,indirect,Novel tank,Control,14,157,58.09475019,Atropine,Muscarinic receptor antagonist,14,165,42.60281681
10,Volgin_2019,Volgin_2019_exp_003,time_in_light,indirect,Light/dark,Control,10,152,34.78505426,Atropine,Muscarinic receptor antagonist,10,163,63.2455532
11,Bortolotto_2015,Bortolotto_2015_exp_001,time_in_upper,indirect,Novel tank,Control,12,86.9205,86.84675954,Caffeine,Adenosine receptor antagonist,12,114.4045,34.8575225
12,Freddo_2021,Freddo_2021_exp_001,time_in_upper,indirect,Novel tank,Control,12,50.7925,39.6778199,Caffeine,Adenosine receptor antagonist,12,71.1535,85.57543425
13,Santos_2023,Santos_2023_exp_001,entries_in_upper,indirect,Novel tank,Control,12,11.145,13.13067717,Caffeine,Adenosine receptor antagonist,12,4.334,8.630809174
14,Santos_2023,Santos_2023_exp_001,entries_in_upper,indirect,Novel tank,Control,12,11.145,13.13067717,Caffeine,Adenosine receptor antagonist,12,2.718,5.649949734
15,Santos_2023,Santos_2023_exp_001,entries_in_upper,indirect,Novel tank,Control,12,11.145,13.13067717,Caffeine,Adenosine receptor antagonist,12,1.51,2.197972475
16,Dhakshinamoorthy_2024,Dhakshinamoorthy_2024_exp_001,time_in_upper,indirect,Novel tank,Control,10,0.00102657895,0.00005026315,Carbamazepine,Sodium channel blocker,10,0.0009486842,0.0000481579
17,Dhakshinamoorthy_2024,Dhakshinamoorthy_2024_exp_002,time_in_light,indirect,Light/dark,Control,10,0.00104583335,0.0002295833,Carbamazepine,Sodium channel blocker,10,0.00221208335,0.0002275
