category,rho,estimate,ci_lb,ci_ub,p_value,sigma2_between,sigma2_within,k,n_studies
Pro-dopaminergic agents,0,-0.11077291714160875,-0.5975386850293973,0.3759928507461799,0.5839600130246625,0.1395709793584085,3.1609948114980275e-4,18,6
Pro-dopaminergic agents,0.2,-0.11156555697631029,-0.5819871277187855,0.3588560137661648,0.5687378434721295,0.1078175725156997,2.0732654836359786e-9,18,6
Pro-dopaminergic agents,0.4,-0.10999498594371865,-0.5604211858504573,0.34043121396302006,0.5577242165141507,0.07401547013169128,3.312931628607943e-9,18,6
Pro-dopaminergic agents,0.5,-0.10728266067169341,-0.5459493485600617,0.3313840272166749,0.557159680163522,0.05635003833521879,2.5275104207346947e-9,18,6
Pro-dopaminergic agents,0.6,-0.10190463655523398,-0.52782501309158,0.32401573998111205,0.5654439279608912,0.038499534449448626,4.751980135649991e-9,18,6
Pro-dopaminergic agents,0.8,-0.0703563569951465,-0.4879182638385221,0.34720554984822916,0.682971230604464,0.01742971589482093,3.4386764122688322e-9,18,6
Estradiol and alike,0,-0.4928099684883745,-0.9855099737429507,-1.0996323379830475e-4,0.04996520276336851,0.07411176118643226,0.13003218143454692,27,6
Estradiol and alike,0.2,-0.43941672227282536,-0.867824192235723,-0.011009252309927664,0.0461624965157454,0.03539664753636594,0.10418495287936001,27,6
Estradiol and alike,0.4,-0.346685030141123,-0.6743526830326604,-0.019017377249585632,0.041786165406626455,7.225671465311453e-9,0.07389768621710611,27,6
Estradiol and alike,0.5,-0.274898638162723,-0.5572138279707091,0.007416551645263114,0.054287125645659094,2.657110244800567e-9,0.057580264484174526,27,6
Estradiol and alike,0.6,-0.1763522879828603,-0.4978554112679179,0.1451508353021973,0.21759859883721155,4.925985043604504e-9,0.07061905998362922,27,6
Estradiol and alike,0.8,0.04406148463454475,-0.7023789035175982,0.7905018727866877,0.8853257730919952,0.32262729721605604,0.11121252776194654,27,6
Ethanol,0,-0.09046333479974973,-1.4988216053249437,1.3178949357254444,0.8753203273723912,3.634879987168454e-8,4.348501964163139,28,6
Ethanol,0.2,-0.11078393851943633,-1.4409509019027433,1.2193830248638708,0.8389317088363533,2.598857866908651e-8,3.955679915990379,28,6
Ethanol,0.4,-0.1419266648785635,-1.382262648025364,1.0984093182682368,0.7804695513753378,2.103321687452361e-8,3.5296817857786205,28,6
Ethanol,0.5,-0.16439438196076595,-1.3572414328614442,1.0284526689399125,0.7375878846029247,1.9882748572250035e-8,3.3118654916588914,28,6
Ethanol,0.6,-0.19470212679633103,-1.3430500115777244,0.9536457579850625,0.6811262307217472,1.9753661117480026e-8,3.1069771521539207,28,6
Ethanol,0.8,-0.3054630265253759,-1.4343202201757288,0.8233941671249769,0.5176845573707332,2.0033260858027248e-8,2.929777387194246,28,6
NMDA antagonists,0,0.26957386010170653,-0.5822329488717026,1.1213806690751158,0.47863892657382656,0.7728644347680885,0.23856357678057097,33,8
NMDA antagonists,0.2,0.27168646447380307,-0.5782550769664847,1.1216280059140908,0.4743957416546638,0.7725518511031803,0.221842792572908,33,8
NMDA antagonists,0.4,0.2744592190238541,-0.572892255350163,1.1218106933978713,0.4687655804965386,0.7690174164947345,0.2079926294681059,33,8
NMDA antagonists,0.5,0.27616678216590385,-0.5692900422513613,1.121623606583169,0.4651520472039714,0.7656140711857411,0.20154294750090454,33,8
NMDA antagonists,0.6,0.27819592850763025,-0.5645366471072581,1.1209285041225188,0.4606204151614164,0.7604924022831564,0.19475458523575956,33,8
NMDA antagonists,0.8,0.28471360923981304,-0.545152021418048,1.1145792398976742,0.44391904412607985,0.7368957535763583,0.17465327036047243,33,8
Stress,0,0.4341261671277507,-0.04621423266809227,0.9144665669235936,0.07300215337359388,0.5763807484140953,0.060321699411003404,29,15
Stress,0.2,0.43605857034838724,-0.04487975268185895,0.9169968933786334,0.07218836264154704,0.5729666446879779,0.06448950618138716,29,15
Stress,0.4,0.43822653998396605,-0.04309865433246074,0.9195517343003928,0.07113923224226752,0.5697157652964667,0.06764902958215517,29,15
Stress,0.5,0.4394896727771946,-0.04189880458627654,0.9208781501406658,0.07045100312472861,0.5679126467523027,0.06896391353161228,29,15
Stress,0.6,0.4409972232051327,-0.04029684973713216,0.9222912961473975,0.06955025846980656,0.5657453049502907,0.07014141408295801,29,15
Stress,0.8,0.4462606105513489,-0.03355229369319185,0.9260735147958896,0.06590876845244904,0.5577667131614336,0.07215769813275165,29,15
