category,left_out,estimate,ci_lb,ci_ub,p_value,sigma2_between,sigma2_within,k,n_studies
Stress,Aldurrah_2023,0.36154866889524434,-0.07591190966833317,0.7990092474588218,0.10526359325804605,0.5196843019922791,0.06754456206243685,28,14
Stress,Chakravarty_2013,0.40795213179176026,-0.0628818344291664,0.8787860980126869,0.08946952194744542,0.632266753455531,0.03588958213333644,27,14
Stress,Fontana_2020,0.46749869359346663,-9.56554011490085e-4,0.9359539411984233,0.05046964598308006,0.6130923026834769,0.07007598665425657,28,14
Stress,Fontana_2021,0.5016918794744465,0.03887595000391614,0.9645078089449768,0.03362013174552849,0.5640823304675011,0.09348265603029711,21,14
Stress,Rahim_2022,0.4188304459691431,-0.053859232684623504,0.8915201246229096,0.082450440700364655,0.610334499384068,0.08299235479713232,27,14
Stress,Reddy_2018,0.36485296361401365,-0.07654328060857218,0.8062492078365995,0.10521439186028664,0.5290262293494169,0.06792256750543649,28,14
Stress,Reddy_2019,0.3942688842371457,-0.06594798790016632,0.8544857563744577,0.09313142857360057,0.5843036452248925,0.06978665561479719,28,14
Stress,Sachett_2022,0.463376973351257,-0.012596767626758876,0.9393507143292729,0.056379193033029386,0.6356659160704122,0.05785532513253577,27,14
Stress,Wang_2024,0.32529744617369305,-0.09367439229955238,0.7442692846469385,0.1280712054669085,0.4318654059178486,0.09130657672970816,27,14
Stress,Liu_2024,0.39352430031637725,-0.05584432048104132,0.8428929211137959,0.08609001458696955,0.5665627811049577,0.06922546925567861,28,14
Stress,Barcellos_2020,0.5013119591485867,0.04682003084654557,0.9558038874506278,0.030628041924782377,0.5678587741486164,0.06816804882068886,28,14
Stress,Tamagno_2022_A,0.5082639980836066,0.05089600539903205,0.9656319907681811,0.029400886378275048,0.5885097666912343,0.035432854796875995,27,14
Stress,Marchetto_2021,0.4733791287353408,0.005853210647564888,0.9409050468231168,0.04719992348997915,0.6091872731415137,0.06989682633229789,28,14
Stress,Müller_2024,0.5397272419414358,0.11806197982074573,0.961392504062126,0.012116470652024652,0.447609191289542,0.08275554537633661,27,14
Stress,Shams_2017_A,0.4710526464884768,0.0022658985568569934,0.9398393944200966,0.048902867896968724,0.6123206606542677,0.07001341435646935,27,14
