category,rho,estimate,ci_lb,ci_ub,p_value,sigma2_between,sigma2_within,k,n_studies
Pro-dopaminergic agents,0,-0.1107729171429184,-0.4836690636155644,0.26212322932972765,0.5604124825428315,0.13957097936429544,3.1609948412075685e-4,18,6
Pro-dopaminergic agents,0.2,-0.11156555697479861,-0.4717162123680415,0.2485850984184443,0.5437532073901572,0.10781757250609059,2.0732785823361475e-9,18,6
Pro-dopaminergic agents,0.4,-0.10999498591052959,-0.45470152470564074,0.23471155288458156,0.5316957295974207,0.07401546990935061,3.3446682514782053e-9,18,6
Pro-dopaminergic agents,0.5,-0.10728266065873573,-0.442971717923884,0.22840639660641257,0.5310633035405029,0.05635003824329785,2.5638211548421386e-9,18,6
Pro-dopaminergic agents,0.6,-0.1019046365468404,-0.4278691536799376,0.2240598805862568,0.5400524908199676,0.03849953440627843,4.751830133642656e-9,18,6
Pro-dopaminergic agents,0.8,-0.07035635688636624,-0.38994420653190753,0.24923149275917503,0.6661190273845456,0.017429715522695108,3.4384346270146334e-9,18,6
Estradiol and alike,0,-0.4928099684890092,-0.8738841938791235,-0.11173574309889495,0.011255972194706868,0.07411176119247734,0.13003218144713155,27,6
Estradiol and alike,0.2,-0.43941672227470147,-0.7721486596571792,-0.10668478489222383,0.009642495596776888,0.03539664755921399,0.10418495286863712,27,6
Estradiol and alike,0.4,-0.34668503014251917,-0.6203315999025408,-0.0730384603824975,0.013024668922879552,7.2261515311507e-9,0.07389768624538952,27,6
Estradiol and alike,0.5,-0.2748986381677514,-0.5391295829623449,-0.010667693373157872,0.04144076169985479,2.657267481293228e-9,0.057580264523967924,27,6
Estradiol and alike,0.6,-0.17635228800745834,-0.45833688626944774,0.10563231025453107,0.22029075004209434,4.9263750636504994e-9,0.0706190600944644,27,6
Estradiol and alike,0.8,0.0440614845687549,-0.5265078558256645,0.6146308249631743,0.8796951317671873,0.32262729762440623,0.11121252782393663,27,6
Ethanol,0,-0.09046333480839866,-1.3442613582959486,1.1633346886791511,0.8875427157939814,3.634887275011315e-8,4.348501964936897,28,6
Ethanol,0.2,-0.11078393852348489,-1.312820314719009,1.091252437672039,0.8566523258820051,2.5988551832405907e-8,3.9556799162578344,28,6
Ethanol,0.4,-0.14192666487028868,-1.2844259752409524,1.0005726455003752,0.8076366821431996,2.103328490779185e-8,3.529681785376479,28,6
Ethanol,0.5,-0.16439438194998535,-1.2749609778500415,0.9461722139500708,0.771717900632207,1.9883107674964654e-8,3.311865491209837,28,6
Ethanol,0.6,-0.19470212677181914,-1.2742850805495984,0.88488082700596,0.7237298879888906,2.0079677602534275e-8,3.1069771512044846,28,6
Ethanol,0.8,-0.3054630267699272,-1.3586578726034804,0.747731819063626,0.5697243420588066,2.1931672204606736e-8,2.9297773915063776,28,6
NMDA antagonists,0,0.2695738601008517,-0.4374999090648073,0.9766476292665107,0.4549176328209002,0.772864434557273,0.23856357679818616,33,8
NMDA antagonists,0.2,0.2716864644737323,-0.43377792892192074,0.9771508578693853,0.45035949956577237,0.7725518510939574,0.22184279257317396,33,8
NMDA antagonists,0.4,0.27445921902435,-0.4288118196528671,0.9777302577015671,0.4443326460521032,0.7690174166033713,0.2079926294645262,33,8
NMDA antagonists,0.5,0.27616678216767143,-0.4255156824484122,0.9778492467837551,0.4404706405556498,0.7656140713937567,0.20154294750332868,33,8
NMDA antagonists,0.6,0.2781959285109213,-0.42121286120754825,0.9776047182293908,0.43563064255557327,0.7604924023696026,0.19475458525911415,33,8
NMDA antagonists,0.8,0.28471360907306165,-0.40400346737249093,0.9734306855186142,0.41780033670570466,0.7368957551840933,0.17465326895973599,33,8
Stress,0,0.4341261671296495,-0.0051776457397997855,0.8734299799990988,0.052761994543775836,0.5763807484440946,0.060321699420369364,29,15
Stress,0.2,0.43605857034648493,-0.003790740592772124,0.8759078812857419,0.05200740113170627,0.5729666446576955,0.06448950619906818,29,15
Stress,0.4,0.43822653998565764,-0.0019766375383465373,0.8784297175096618,0.05103763643581954,0.5697157653222866,0.0676490295455364,29,15
Stress,0.5,0.4394896727745425,-7.721055867785931e-4,0.8797514511358635,0.050403138754500705,0.5679126467112992,0.0689639135837664,29,15
Stress,0.6,0.4409972232048669,8.204000028290692e-4,0.8811740464069047,0.049574529254021844,0.5657453049427447,0.07014141405622039,29,15
Stress,0.8,0.4462606105704383,0.007431537751962369,0.8850896833889143,0.04624438619930171,0.5577667135125974,0.07215769815973591,29,15
