effect_id,study_id,exp_id,category,outcome_pattern,effect_direction,name_ctrl,n_ctrl,mean_ctrl,sd_ctrl,name_int,n_int,mean_int,sd_int,overall_rob
1,Li_2022,Li_2022_exp_001,Anxiolytics,interfish_distance,indirect,Control,3,7.463,0.3862473301,Amitriptyline,3,7.682,0.130769836,Low
2,Li_2022,Li_2022_exp_002,Anxiolytics,interfish_distance,indirect,Control,3,7.2395,0.328223628,Amitriptyline,3,6.217,0.8634273276,Low
3,Zhang_2023,Zhang_2023_exp_001,Anxiolytics,interfish_distance,indirect,Control,3,6.6515,0.7352555678,Amitriptyline,3,6.2905,0.7040786533,Low
4,Maaswinkel_2013_B,Maaswinkel_2013_B_exp_001,Anxiolytics,interfish_distance,indirect,Control,10,73.835,22.71305929,Buspirone,10,66.8305,22.33832939,Low
5,Maaswinkel_2013_B,Maaswinkel_2013_B_exp_002,Anxiolytics,interfish_distance,indirect,Control,15,68.865,27.58532388,Buspirone,15,72.467,25.00978996,Low
6,Johnson_2023,Johnson_2023_exp_001,Anxiolytics,interfish_distance,indirect,Control,20,6.36,1.744133022,Chlordiazepoxide,10,5.69,1.170042734,Low
7,Johnson_2023,Johnson_2023_exp_001,Anxiolytics,interfish_distance,indirect,Control,20,6.36,1.744133022,Chlordiazepoxide,10,8.003,2.501361629,Low
8,Johnson_2023,Johnson_2023_exp_001,Anxiolytics,interfish_distance,indirect,Control,20,6.36,1.744133022,Chlordiazepoxide,9,10.65,3.03,Low
9,Chen_2021,Chen_2021_exp_001,Anxiolytics,interfish_distance,indirect,Control,3,4.838825,1.1293,Diazepam,3,5.51159,0.344915,Low
10,Chen_2021,Chen_2021_exp_001,Anxiolytics,interfish_distance,indirect,Control,3,4.838825,1.1293,Diazepam,3,6.512995,0.56115,Low
11,Chen_2021,Chen_2021_exp_002,Anxiolytics,interfish_distance,indirect,Control,3,6.327535,1.112025,Diazepam,3,5.822945,0.55665,Low
12,Chen_2021,Chen_2021_exp_002,Anxiolytics,interfish_distance,indirect,Control,3,6.327535,1.112025,Diazepam,3,6.515495,0.51309,Low
