category,left_out,estimate,ci_lb,ci_ub,p_value,sigma2_between,sigma2_within,k,n_studies
Stress,Canzian_2017,1.065193282748078,0.19006455814804513,1.9403220073481107,0.02295481250169683,0.4890878463744763,0.48908736206000064,13,9
Stress,Green_2012,0.8196758832018195,0.06461052083735341,1.5747412455662855,0.036750993315860826,5.946096054122902e-9,0.9641657765576669,14,9
Stress,Rosa_2020,0.9050111187179909,0.08355111380660973,1.7264711236293722,0.03468112529648039,8.536150489974653e-9,1.1348147858509532,14,9
Stress,Chakravarty_2013,0.9675904663208674,0.11663096187123256,1.8185499707705022,0.030552521794237602,9.041374636262743e-9,1.1848193373262659,14,9
Stress,Fontana_2020,1.044296952935038,0.2372701121812868,1.8513237936887894,0.01749381382185961,1.2604406469184922e-8,1.0486858506443981,14,9
Stress,Fontana_2021,1.0677491762104065,0.27670975802444675,1.8587885943963665,0.014387563212352402,7.65783413668526e-9,0.9889030874841727,11,9
Stress,Wang_2024,0.7592732841052836,0.07214426327146684,1.4464023049391004,0.034274798080402964,4.406218052340348e-9,0.7831126321835777,14,9
Stress,Liu_2024,0.8397825033704088,0.07488871689812515,1.6046762898426925,0.03515791862808968,5.22389261928033e-9,0.9990178482507113,14,9
Stress,Müller_2024,0.8825906964738613,0.08120865574959024,1.6839727371981326,0.034727813597879985,7.45640242636783e-9,1.0907100309180011,14,9
Stress,Shams_2017_A,1.070200062842658,0.2995839762114353,1.8408161494738806,0.012565358384517757,4.0621479424507314e-9,0.9506719954338824,13,9
