category,rho,estimate,ci_lb,ci_ub,p_value,sigma2_between,sigma2_within,k,n_studies
Anxiolytics,0,-0.3643040236957252,-0.768005283031439,0.03939723563998859,0.06932276010091502,0.03722546272015098,2.9223580514488883e-9,14,7
Anxiolytics,0.2,-0.3320109090123922,-0.7342574237403667,0.0702356057155823,0.08994269686473393,0.023188945059171837,1.96468507188374e-9,14,7
Anxiolytics,0.4,-0.29249605848968185,-0.686261781624594,0.10126966464523018,0.11901391975740953,0.008022241231236562,9.460374813834475e-10,14,7
Anxiolytics,0.5,-0.2674528641810872,-0.6527008542589998,0.11779512589682539,0.1402847565065581,6.348321721027332e-9,1.0867357120809832e-9,14,7
Anxiolytics,0.6,-0.24165783390757395,-0.615202203250576,0.13188653543542805,0.16451306102850827,2.7615561521796004e-9,1.2944692442088683e-10,14,7
Anxiolytics,0.8,-0.14288345145278358,-0.5198904115996295,0.23412350869406223,0.38951779549663496,1.3034867817013004e-9,2.385565606071154e-9,14,7
Ethanol,0,-0.6861160766345632,-2.236145591165226,0.8639134378960996,0.3300312666069435,3.7022645290145587e-7,3.4998459378258433,13,8
Ethanol,0.2,-0.65325514870869,-2.3332707815922404,1.0267604841748608,0.38844177250410805,1.5551188809582013,2.196452008021006,13,8
Ethanol,0.4,-0.6320260611527511,-2.35167339197001,1.087621269664508,0.413608767484696,1.844886419368769,2.062967837611881,13,8
Ethanol,0.5,-0.6158690701556851,-2.3640325884274422,1.1322944481160717,0.4323203143642097,2.0344327175289014,1.9955574523506272,13,8
Ethanol,0.6,-0.5929878800987357,-2.3823356531522646,1.196359892954793,0.4589441756971062,2.294800570546226,1.9216984766106369,13,8
Ethanol,0.8,-0.4984334935616409,-2.482789242762206,1.4859222556389242,0.5712327461328355,3.4730767656465455,1.7336139016713281,13,8
NMDA antagonists,0,-2.6526725417935935,-5.579123827748692,0.2737787441615045,0.06720325775491744,3.4029850299120215,3.4029850299120215,9,6
NMDA antagonists,0.2,-2.471671731382561,-5.1912581443938475,0.24791468162872565,0.06669051196026671,2.8736903902077517,2.873690355051138,9,6
NMDA antagonists,0.4,-2.281874085913845,-4.833300397970342,0.2695522261426522,0.06985911743595374,2.4811917274489756,2.481191721888613,9,6
NMDA antagonists,0.5,-2.1767792963855586,-4.659543898532506,0.3059853057613897,0.07392632521981665,2.3314095114275397,2.3314095857840695,9,6
NMDA antagonists,0.6,-2.057487975649125,-4.484146294106296,0.36917034280804506,0.08116250664108565,2.21478362711745,2.2147836275952306,9,6
NMDA antagonists,0.8,-1.7208702897324468,-4.099996056590612,0.6582554771257187,0.12207203114209918,2.135753190279699,2.135753190481723,9,6
Stress,0,0.8673506584244738,0.058803108515649294,1.6758982083332983,0.038190148913258046,6.890309576436036e-9,1.274434267283052,15,10
Stress,0.2,0.8904410821798642,0.10551248609957042,1.675369678260158,0.03037442142264094,6.269194316100621e-9,1.1830119739990774,15,10
Stress,0.4,0.920822375154914,0.16516507097794908,1.676479679331879,0.02223546143137852,6.427717247063379e-9,1.075270428705159,15,10
Stress,0.5,0.9412104021768587,0.2032931137886541,1.6791276905650632,0.018019609065035812,8.464155964618357e-9,1.0123853858958887,15,10
Stress,0.6,0.9681721700456022,0.25042483258980375,1.6859195075014006,0.013760977129665454,5.625285900698291e-9,0.9423287475549746,15,10
Stress,0.8,1.076645293580038,0.3905910633456262,1.7626995238144496,0.006215205943482823,8.927057255255297e-9,0.8191322392657364,15,10
