effect_id,category,study_id,exp_id,outcome_pattern,effect_direction,name_ctrl,n_ctrl,mean_ctrl,sd_ctrl,name_int,n_int,mean_int,sd_int,overall_rob
1,Anxiolytics,Baggio_2018,Baggio_2018_exp_001,time_in_social,direct,Control,8,283.6665,51.19453096,Buspirone,8,168.1405,82.56178777,High
2,Anxiolytics,Barba-escobedo_2012,Barba-escobedo_2012_exp_001,time_in_social,direct,Control,9,175.5865,138.7605,Buspirone,5,380.3415,197.3408253,Low
3,Anxiolytics,Vecchia_2019,Vecchia_2019_exp_001,time_in_social,direct,Control,8,89.88644,73.1381757,Buspirone,8,57.741125,35.61063289,Low
4,Anxiolytics,Gusso_2021,Gusso_2021_exp_001,time_in_social,direct,Control,27,225.26,74.70248531,Clonazepam,19,184.5805,74.97088238,Low
5,Anxiolytics,Joseph_2021,Joseph_2021_exp_001,time_in_social,direct,Control,8,304.588,72.91067874,Duloxetine,8,292.102,72.84659286,Low
6,Anxiolytics,Adel_2024,Adel_2024_exp_001,time_in_social,direct,Control,10,53.293,30.5825,Fluoxetine,10,53.799,39.6245,Low
7,Pro-dopaminergic agents,Benvenutti_2021,Benvenutti_2021_exp_001,time_in_social,direct,Control,12,233.392,65.467,Amphetamine,12,223.725,67.232,Low
8,Pro-dopaminergic agents,Benvenutti_2021,Benvenutti_2021_exp_001,time_in_social,direct,Control,12,233.392,65.467,Amphetamine,12,227.558,44.08,Low
9,Pro-dopaminergic agents,Benvenutti_2021,Benvenutti_2021_exp_001,time_in_social,direct,Control,12,233.392,65.467,Amphetamine,12,207.925,69.96,Low
10,Pro-dopaminergic agents,Canzian_2024,Canzian_2024_exp_001,time_in_social,direct,Control,12,55.455,9.496834578,GBR 12909,12,52.702,11.1578713,Low
11,Pro-dopaminergic agents,Canzian_2024,Canzian_2024_exp_001,time_in_social,direct,Control,12,55.455,9.496834578,GBR 12909,12,32.8355,18.64379489,Low
12,Pro-dopaminergic agents,Canzian_2024,Canzian_2024_exp_001,time_in_social,direct,Control,12,55.455,9.496834578,GBR 12909,12,32.771,19.14608963,Low
13,Pro-dopaminergic agents,Canzian_2024,Canzian_2024_exp_001,time_in_social,direct,Control,12,55.455,9.496834578,GBR 12909,12,37.674,24.55008815,Low
14,Pro-dopaminergic agents,Yin_2023,Yin_2023_exp_001,time_in_social,direct,Control,10,78.87,14.89432778,Methamphetamine,10,85.626,12.12101027,Low
15,Pro-dopaminergic agents,Yin_2023,Yin_2023_exp_001,time_in_social,direct,Control,10,78.87,14.89432778,Methamphetamine,10,58.78,16.06437051,Low
16,Pro-dopaminergic agents,Yin_2023,Yin_2023_exp_001,time_in_social,direct,Control,10,78.87,14.89432778,Methamphetamine,10,62.7255,19.15549693,Low
17,Pro-dopaminergic agents,Freddo_2021,Freddo_2021_exp_001,time_in_social,direct,Control,12,36.9715,19.57563823,Methylphenidate,12,18.3665,4.132673227,Low
18,Pro-dopaminergic agents,Frizzo_2020,Frizzo_2020_exp_001,time_in_social,direct,Control,12,37.143,20.74477252,Methylphenidate,12,19.195,19.04909478,Low
19,Pro-dopaminergic agents,Frizzo_2020,Frizzo_2020_exp_001,time_in_social,direct,Control,12,37.143,20.74477252,Methylphenidate,12,29.9885,19.61201129,Low
20,Pro-dopaminergic agents,Frizzo_2020,Frizzo_2020_exp_001,time_in_social,direct,Control,12,37.143,20.74477252,Methylphenidate,12,13.329,19.39896904,Low
21,Pro-dopaminergic agents,Nardi_2024,Nardi_2024_exp_001,time_in_social,direct,Control,12,21.143,54.57692095,Methylphenidate,12,25.7735,57.04509335,High
22,Estradiol and alike,Fenske_2020,Fenske_2020_exp_001,time_in_social,direct,Control,12,9.90524,0.298155226,Estradiol,12,9.96731,0.298155226,High
23,Estradiol and alike,Fenske_2020,Fenske_2020_exp_001,time_in_social,direct,Control,12,9.90524,0.298155226,Estradiol,12,8.846745,2.511958645,High
24,Estradiol and alike,Fenske_2020,Fenske_2020_exp_001,time_in_social,direct,Control,12,9.90524,0.298155226,Estradiol,12,9.13053,1.570467788,High
25,Estradiol and alike,Fenske_2020,Fenske_2020_exp_001,time_in_social,direct,Control,12,9.90524,0.298155226,Estradiol,12,9.14253,1.536069259,High
