category,left_out,estimate,ci_lb,ci_ub,p_value,sigma2_between,sigma2_within,k,n_studies
Ethanol,Araujo-Silva_2018,-0.6043171252645779,-0.7885175965403237,-0.42011665398883213,1.1672101062213966e-5,5.529553066506218e-10,0.10297865741749813,51,13
Ethanol,Baggio_2018,-0.6237617362300512,-0.8109915775436775,-0.43653189491642486,1.00254004150298e-5,4.834631519318449e-10,0.1444724202637101,51,13
Ethanol,Fernandes_2009,-0.6540611462354113,-0.8582817419965664,-0.4498405504742563,1.4790203132857453e-5,8.151363345101625e-10,0.1719757703157456,51,13
Ethanol,Fernandes_2015_A,-0.6457012951596965,-0.8468086679254109,-0.4445939223939822,1.4432649481440092e-5,4.810906775807294e-10,0.16798845240251897,54,13
Ethanol,Fernandes_2015_B,-0.649428615208029,-0.8535849375657134,-0.4452722928503446,1.5806223817580823e-5,4.786586458856901e-10,0.1727731034660757,53,13
Ethanol,Fernandes_2018,-0.6165308711867818,-0.7997890799981345,-0.43327266237542916,9.096115640969439e-6,3.594584564149841e-10,0.13735490942818343,53,13
Ethanol,Fontana_2018,-0.6540928854507345,-0.8533189160856727,-0.45486685481579636,1.1587673170528546e-5,4.706153305855736e-10,0.16300211863780717,54,13
Ethanol,Gerlai_2000,-0.6308152346243615,-0.824397709221387,-0.437232760027336,1.2477638553513005e-5,4.1318722258825457e-10,0.1557926431990433,52,13
Ethanol,Gerlai_2003,-0.6294035964395326,-0.822130140277078,-0.4366770526019872,1.2211049249634897e-5,3.9658895754476446e-10,0.15430481208729574,52,13
Ethanol,Gerlai_2008,-0.6589268857901184,-0.8967934927722312,-0.4210602788080055,5.886366095365906e-5,6.390373340325831e-10,0.21471310610172464,43,13
Ethanol,Gerlai_2009,-0.6866804122302417,-0.8891330839348469,-0.48422774052563644,8.385815530268947e-6,4.394817545822382e-10,0.17621734781293907,47,13
Ethanol,Lutte_2020,-0.659891312430166,-0.8502956509108268,-0.4694869739495051,6.755754296429388e-6,0.01199994147876597,0.0229250472206431,51,13
Ethanol,Parker_2014,-0.6513368159533373,-0.8551045872388909,-0.44756904466778363,1.507584906218087e-5,4.908450495201103e-10,0.17175082205420744,54,13
Ethanol,Scerbina_2022,-0.7000509075205361,-0.8857739017649549,-0.5143279132761174,2.8713677406321623e-6,4.492361252512599e-10,0.15845223806591366,49,13
