category,left_out,estimate,ci_lb,ci_ub,p_value,sigma2_between,sigma2_within,k,n_studies
Stress,Wilson_2024,-0.6822253596307652,-1.2353794016821644,-0.12907131757936618,0.01946849053797676,0.6194146251814403,0.1505989669427927,21,14
Stress,Aldurrah_2023,-0.6163320296628281,-1.1829993055907901,-0.04966475373486601,0.03524505228967809,0.6839082577359238,0.1420519941439586,22,14
Stress,Fulcher_2016,-0.6622679839294814,-1.2228851431985064,-0.10165082466045638,0.024097329591322884,0.6648876297685564,0.1350473336260737,21,14
Stress,Rahim_2022,-0.5957217424009161,-1.1592699165006186,-0.03217356830121376,0.03984449182188237,0.673192290925002,0.14317187873050988,22,14
Stress,Reddy_2018,-0.5451113432365255,-1.0865984030936437,-0.0036242833794072338,0.04869437289133641,0.6028299601117854,0.14108200860384673,22,14
Stress,Reddy_2019,-0.5747399527722,-1.134162270100794,-0.015317635443605981,0.044858241670109544,0.6550538692691791,0.14357019368684135,22,14
Stress,Reddy_2021,-0.5608988262485386,-1.117322868308384,-0.004474784188693293,0.048435157976719136,0.639592748715651,0.14344202265435896,22,14
Stress,Sachett_2022,-0.621627807345281,-1.1919106969211066,-0.05134491776945527,0.03490733228814013,0.6902015357384289,0.1421076809022837,22,14
Stress,Liu_2024,-0.6990491856712172,-1.2279456942558147,-0.17015267708661985,0.01351665511728271,0.5834752102173637,0.12011603210973305,22,14
Stress,Barcellos_2020,-0.5381958977509246,-1.073145649157698,-0.003246146344150991,0.04881493761624833,0.5861855156263315,0.13985621565449988,22,14
Stress,Tamagno_2022_A,-0.7300255960339529,-1.2192264047551262,-0.24082478731277956,0.006654542314808272,0.3976606648007207,0.16988597948678716,21,14
Stress,Cook_2023,-0.5895660024738182,-1.1576192946994386,-0.021512710248197786,0.04302361401400983,0.6772655041760994,0.14421323434249644,20,14
Stress,Marchetto_2021,-0.6342179967824939,-1.2015463161561593,-0.06688967740882856,0.03119132632635053,0.6851213721392243,0.14026814501129553,22,14
Stress,Müller_2024,-0.4821034279690083,-0.9659423107680245,0.0017354548300078654,0.05071309867573284,0.4467417502084773,0.12485513090756313,22,14
Stress,Shams_2017_B,-0.6705470981119189,-1.2327094457012675,-0.10838475052257035,0.02299184221907602,0.7147799111489371,0.07393884323823664,19,14
