category,rho,estimate,ci_lb,ci_ub,p_value,sigma2_between,sigma2_within,k,n_studies
Anxiolytics,0,-0.2898551299696932,-1.1106019195698709,0.5308916596304843,0.4055974365446552,0.18957015068657274,0.1895701507092205,6,6
Anxiolytics,0.2,-0.2898551299696932,-1.1106019195698709,0.5308916596304843,0.4055974365446552,0.18957015068657274,0.1895701507092205,6,6
Anxiolytics,0.4,-0.2898551299696932,-1.1106019195698709,0.5308916596304843,0.4055974365446552,0.18957015068657274,0.1895701507092205,6,6
Anxiolytics,0.5,-0.2898551299696932,-1.1106019195698709,0.5308916596304843,0.4055974365446552,0.18957015068657274,0.1895701507092205,6,6
Anxiolytics,0.6,-0.2898551299696932,-1.1106019195698709,0.5308916596304843,0.4055974365446552,0.18957015068657274,0.1895701507092205,6,6
Anxiolytics,0.8,-0.2898551299696932,-1.1106019195698709,0.5308916596304843,0.4055974365446552,0.18957015068657274,0.1895701507092205,6,6
Pro-dopaminergic agents,0,-0.6068662746220413,-1.0497274203921567,-0.16400512885192597,0.016873221985796587,0.04733796419347629,0.0473379659355047,15,6
Pro-dopaminergic agents,0.2,-0.5930831472468627,-1.04322497431981,-0.14294132017391525,0.01952780454868811,0.03874125308960255,0.03874125308599479,15,6
Pro-dopaminergic agents,0.4,-0.5746607820065394,-1.032445042192239,-0.11687652182083974,0.023286672638003877,0.030942066438834438,0.030942069992687147,15,6
Pro-dopaminergic agents,0.5,-0.5618853331482918,-1.0228442002925915,-0.10092646600399208,0.025857820070796757,0.027068565342927748,0.027068568971589806,15,6
Pro-dopaminergic agents,0.6,-0.5442739890639146,-1.007105598510345,-0.08144237961748407,0.029318265895282223,0.02287686842672661,0.02287687095344289,15,6
Pro-dopaminergic agents,0.8,-0.46575813743425676,-0.9248215676985065,-0.006694707170006919,0.04778108693800575,0.012255871832785403,0.012255872082556709,15,6
Estradiol and alike,0,-0.2279965516942265,-0.9712702942518527,0.5152771908633997,0.48129264870777066,0.38548226094319055,0.24937327652804203,29,7
Estradiol and alike,0.2,-0.15043303710046124,-0.8059704804529289,0.5051044062520065,0.594780075370577,0.43538592020222083,3.466053641699436e-10,29,7
Estradiol and alike,0.4,-0.07617933555346064,-0.6881043910996573,0.5357457199927359,0.7709456042472507,0.3632289322358401,1.929171454238701e-9,29,7
Estradiol and alike,0.5,0.01663310200426692,-0.5525430888379023,0.5858092928464361,0.9453186797031532,0.12544468685620505,0.227448377895253,29,7
Estradiol and alike,0.6,0.1105139120436174,-0.4337879866195078,0.6548158107067426,0.636994741684385,1.1838788986707447e-8,0.4286771239841896,29,7
Estradiol and alike,0.8,0.24470164227054114,-0.4047293813674888,0.8941326659085711,0.39210318786413495,1.262078259997978e-8,0.8367940452685891,29,7
Ethanol,0,-0.7423338983504875,-0.9737114142489425,-0.5109563824520325,1.0355486156611595e-5,6.570512619528283e-10,0.34491415285580695,55,14
Ethanol,0.2,-0.711099529759867,-0.9221926131689735,-0.5000064463507605,6.20323362021772e-6,6.91883494609429e-10,0.2645299582315241,55,14
Ethanol,0.4,-0.6719815699650921,-0.8665538174846481,-0.477409322445536,4.7573306554639065e-6,5.724035252265289e-10,0.18683938511478015,55,14
Ethanol,0.5,-0.6472200183870656,-0.8363215817222589,-0.4581184550518722,5.238816686099274e-6,4.0497561632928885e-10,0.149343528896378,55,14
Ethanol,0.6,-0.6162214312236448,-0.8035154935502852,-0.42892736889700445,7.95747257179094e-6,5.442801310860676e-10,0.11386944677233644,55,14
Ethanol,0.8,-0.5043176731115888,-0.7252833589529722,-0.2833519872702054,2.746940845483462e-4,0.010533259256332904,0.07073015409121194,55,14
NMDA antagonists,0,-1.9030701173041107,-3.215000914550461,-0.5911393200577602,0.010154523191524286,2.526452514740106,0.0796463312183157,22,9
NMDA antagonists,0.2,-1.9037853320121034,-3.2256065193566172,-0.5819641446675896,0.010520029623210993,2.6029250634528447,0.02934866954787706,22,9
NMDA antagonists,0.4,-1.8997208504826946,-3.233723374575642,-0.565718326389747,0.011122435214540856,2.6729997147714117,1.7008922468625157e-9,22,9
NMDA antagonists,0.5,-1.894418880591725,-3.23638171930272,-0.5524560418807303,0.011608032430169585,2.7045760431984647,7.004011525829361e-10,22,9
NMDA antagonists,0.6,-1.8860289536265724,-3.2398265670973276,-0.5322313401558172,0.0123761607888553,2.75375527683591,6.506739668640797e-10,22,9
NMDA antagonists,0.8,-1.8440610110121662,-3.2591116630600876,-0.4290103589642449,0.016938725881909936,3.0277820718462647,8.902190205941522e-10,22,9
Valproic acid,0,-0.5951054302555814,-1.3501245482589583,0.15991368774779569,0.10203447057832765,0.23441176148746756,0.23441176154892757,9,7
Valproic acid,0.2,-0.596257986692289,-1.3542025530167052,0.16168657963212707,0.1025625604585073,0.2355643205928978,0.23556432058750473,9,7
Valproic acid,0.4,-0.5972737280528911,-1.3580769517773281,0.16352949567154584,0.10312808952176339,0.23672342092514656,0.2367234209194518,9,7
Valproic acid,0.5,-0.597697908222316,-1.359923544844683,0.1645277284000508,0.10344645537182233,0.2373197969384443,0.23731979690471675,9,7
Valproic acid,0.6,-0.5980223902706743,-1.361688357501806,0.1656435769604574,0.10381705596478144,0.23794635218470395,0.23794635325172953,9,7
Valproic acid,0.8,-0.5978429499247373,-1.364709405921042,0.16902350607156735,0.10505796778944292,0.2395206464232082,0.23952064419583124,9,7
Stress,0,-0.6072453888117326,-1.1307030159647988,-0.08378776165866653,0.026058935239214546,0.5952899235373463,0.16999608754351891,23,15
Stress,0.2,-0.6099292891174594,-1.134150989932209,-0.08570758830270975,0.025691547483951437,0.6070349006719922,0.15513602835723667,23,15
Stress,0.4,-0.6121879316847653,-1.1372172868677832,-0.0871585765017473,0.02542554533794913,0.6177628298021303,0.14179696660933008,23,15
Stress,0.5,-0.6130783262618946,-1.1385371764079344,-0.08761947611585497,0.025347541395560457,0.62274601556933,0.1357306055362995,23,15
Stress,0.6,-0.6137077522533013,-1.1396237463640158,-0.08779175814258677,0.025328361893548694,0.6275048316074969,0.13007270474001917,23,15
Stress,0.8,-0.6129782915349531,-1.1400211909626128,-0.0859353921072934,0.02573872478109114,0.6368169988639089,0.119961964122448,23,15
