category,left_out,estimate,ci_lb,ci_ub,p_value,sigma2_between,sigma2_within,k,n_studies
Ethanol,Araujo-Silva_2018,-0.6043171252554306,-0.8134356419515443,-0.3951986085593169,1.4791524419638604e-8,5.529554340000781e-10,0.10297865736053445,51,13
Ethanol,Baggio_2018,-0.6237617362319654,-0.8453582963758095,-0.4021651760881213,3.448149387769964e-8,4.834621156786318e-10,0.14447242028273938,51,13
Ethanol,Fernandes_2009,-0.6540611462405873,-0.8907042138443775,-0.41741807863679714,6.054895780785157e-8,8.151288764815682e-10,0.17197577036235986,51,13
Ethanol,Fernandes_2015_A,-0.6457012951628341,-0.879571421435525,-0.41183116889014326,6.255410372752304e-8,4.810863822019646e-10,0.1679884524294905,54,13
Ethanol,Fernandes_2015_B,-0.649428615207902,-0.8866401525692519,-0.41221707784655204,8.054033722237722e-8,4.75509367736124e-10,0.1727731034761882,53,13
Ethanol,Fernandes_2018,-0.6165308711839724,-0.8359825229689776,-0.3970792193989673,3.6634319689174495e-8,3.5943801349783174e-10,0.1373549094049503,53,13
Ethanol,Fontana_2018,-0.6540928854515984,-0.8841635534116661,-0.4240222174915307,2.5155043077547163e-8,4.706129004430816e-10,0.16300211864481046,54,13
Ethanol,Gerlai_2000,-0.6308152346245788,-0.8586063115547177,-0.4030241576944399,5.709399095699521e-8,4.131864978512489e-10,0.1557926432009234,52,13
Ethanol,Gerlai_2003,-0.6294035964370496,-0.8565256908868252,-0.40228150198727397,5.588959122170886e-8,3.9584995955128746e-10,0.1543048120681964,52,13
Ethanol,Gerlai_2008,-0.658926885792835,-0.9324149322640417,-0.38543883932162826,2.3327473014979517e-6,6.390105706445063e-10,0.2147131061284398,43,13
Ethanol,Gerlai_2009,-0.686680412231331,-0.9315245794395489,-0.44183624502311314,3.866602193888494e-8,4.3948257218268783e-10,0.176217347823453,47,13
Ethanol,Lutte_2020,-0.6598913124226372,-0.833178886486039,-0.4866037383592355,8.413804386523818e-14,0.011999941471194634,0.02292504722010345,51,13
Ethanol,Parker_2014,-0.6513368159563911,-0.8877454013012893,-0.414928230611493,6.665607720785846e-8,4.908498259646177e-10,0.17175082208114661,54,13
Ethanol,Scerbina_2022,-0.7000509075222563,-0.9380588749555911,-0.4620429400889215,8.174203384533583e-9,4.492449690421505e-10,0.1584522380838319,49,13
