category,left_out,estimate,ci_lb,ci_ub,p_value,sigma2_between,sigma2_within,k,n_studies
Stress,Wilson_2024,-0.6822253596334664,-1.1843077127518762,-0.18014300651505655,0.007740532991602864,0.6194146252129212,0.1505989669319799,21,14
Stress,Aldurrah_2023,-0.6163320296326636,-1.1306509895281613,-0.10201306973716606,0.018838327237645933,0.6839082575466237,0.14205199436368032,22,14
Stress,Fulcher_2016,-0.6622679839238098,-1.1711107000668655,-0.15342526778075405,0.010743635807003969,0.6648876297374381,0.13504733366532765,21,14
Stress,Rahim_2022,-0.5957217424153651,-1.107212691934555,-0.0842307928961753,0.02244657426647631,0.6731922910312789,0.14317187863570363,22,14
Stress,Reddy_2018,-0.545111343240968,-1.0366139636044904,-0.05360872287744545,0.02972471355735514,0.6028299601399567,0.14108200857393172,22,14
Stress,Reddy_2019,-0.5747399527706663,-1.0825057518608316,-0.06697415368050086,0.02652194230711888,0.6550538692255881,0.14357019367031562,22,14
Stress,Reddy_2021,-0.5608988262357515,-1.0659472896247557,-0.05585036284674727,0.029502587536002583,0.6395927486166173,0.1434420227282713,22,14
Stress,Sachett_2022,-0.6216278073473841,-1.1392337883258643,-0.10402182636890389,0.018579983831333097,0.690201535749752,0.14210768088570544,22,14
Stress,Liu_2024,-0.6990491856727175,-1.1791109157471014,-0.21898745559833344,0.004316827123347262,0.5834752102246258,0.12011603210073646,22,14
Stress,Barcellos_2020,-0.5381958977562842,-1.0237554391414818,-0.05263635637108666,0.02982317257424507,0.5861855156706338,0.13985621562677145,22,14
Stress,Tamagno_2022_A,-0.7300255960201042,-1.174143124101617,-0.2859080679385915,0.001274220388464139,0.3976606646935687,0.16988597960929894,21,14
Stress,Cook_2023,-0.5895660024766024,-1.105149588816471,-0.07398241613673362,0.02501284688575523,0.6772655042005012,0.14421323432760452,20,14
Stress,Marchetto_2021,-0.634217996779169,-1.1491420694643872,-0.11929392409395079,0.01577697212990087,0.6851213721171378,0.14026814503384677,22,14
Stress,Müller_2024,-0.48210342797191036,-0.9213415543056986,-0.04286530163812202,0.03145748965715086,0.44674175022532,0.1248551308929632,22,14
Stress,Shams_2017_B,-0.6705470981129698,-1.1807256217083537,-0.1603685745175858,0.009993462088679773,0.7147799111687584,0.0739388432371314,19,14
