category,rho,estimate,ci_lb,ci_ub,p_value,sigma2_between,sigma2_within,k,n_studies
Anxiolytics,0,-0.2898551299578035,-0.9171448042161029,0.3374345443004959,0.36512052569200515,0.18957015086387707,0.18957015086387707,6,6
Anxiolytics,0.2,-0.2898551299578035,-0.9171448042161029,0.3374345443004959,0.36512052569200515,0.18957015086387707,0.18957015086387707,6,6
Anxiolytics,0.4,-0.2898551299578035,-0.9171448042161029,0.3374345443004959,0.36512052569200515,0.18957015086387707,0.18957015086387707,6,6
Anxiolytics,0.5,-0.2898551299578035,-0.9171448042161029,0.3374345443004959,0.36512052569200515,0.18957015086387707,0.18957015086387707,6,6
Anxiolytics,0.6,-0.2898551299578035,-0.9171448042161029,0.3374345443004959,0.36512052569200515,0.18957015086387707,0.18957015086387707,6,6
Anxiolytics,0.8,-0.2898551299578035,-0.9171448042161029,0.3374345443004959,0.36512052569200515,0.18957015086387707,0.18957015086387707,6,6
Pro-dopaminergic agents,0,-0.606866274622142,-0.9467348316635278,-0.26699771758075624,4.6579205391067397e-4,0.047337965050755694,0.04733796507557203,15,6
Pro-dopaminergic agents,0.2,-0.5930831472468384,-0.9378438423333316,-0.2483224521603452,7.471209046055196e-4,0.03874125241156043,0.038741253753972485,15,6
Pro-dopaminergic agents,0.4,-0.5746607820035395,-0.9246834240131749,-0.2246381399939042,0.0012916296159267348,0.03094206832036525,0.030942068031333276,15,6
Pro-dopaminergic agents,0.5,-0.5618853331493471,-0.9140972957698952,-0.20967337052879903,0.0017675653679255898,0.02706856726170394,0.02706856707267214,15,6
Pro-dopaminergic agents,0.6,-0.5442739890774485,-0.8977251009048925,-0.19082287725000452,0.0025434924270341048,0.022876869931619064,0.022876869649942913,15,6
Pro-dopaminergic agents,0.8,-0.46575813744885586,-0.8161018190484424,-0.11541445584926935,0.009170304510614636,0.012255871896013657,0.012255872184985491,15,6
Estradiol and alike,0,-0.22799655169329,-0.8245767814865542,0.36858367809997417,0.4538304956945839,0.3854822609355685,0.2493732764954096,29,7
Estradiol and alike,0.2,-0.15043303710229275,-0.6759352760242745,0.37506920181968906,0.5747500861903898,0.4353859202533248,3.3806209177726075e-10,29,7
